ticker,exchange,assetType,priceCurrency,startDate,endDate
1,SHE,Stock,CNY,1/4/2007,6/10/2021
2,SHE,Stock,CNY,1/4/2007,6/10/2021
3,SHE,Stock,CNY,,
4,SHE,Stock,CNY,8/31/2007,6/10/2021
5,SHE,Stock,CNY,8/31/2007,6/10/2021
6,SHE,Stock,CNY,1/4/2007,6/10/2021
7,SHE,Stock,CNY,8/31/2007,6/10/2021
8,SHE,Stock,CNY,1/4/2007,6/10/2021
9,SHE,Stock,CNY,1/5/2007,6/10/2021
10,SHE,Stock,CNY,8/31/2007,6/10/2021
11,SHE,Stock,CNY,1/4/2007,6/10/2021
12,SHE,Stock,CNY,1/4/2007,6/10/2021
13,SHE,Stock,CNY,,
14,SHE,Stock,CNY,1/4/2007,6/10/2021
15,SHE,Stock,CNY,,
16,SHE,Stock,CNY,1/4/2007,6/8/2021
17,SHE,Stock,CNY,3/18/2010,6/10/2021
18,SHE,Stock,CNY,8/31/2007,1/6/2020
19,SHE,Stock,CNY,10/12/2007,6/10/2021
20,SHE,Stock,CNY,8/31/2007,6/10/2021
21,SHE,Stock,CNY,1/4/2007,6/10/2021
22,SHE,Stock,CNY,7/10/2018,12/20/2018
23,SHE,Stock,CNY,1/4/2007,6/10/2021
24,SHE,Stock,CNY,,
25,SHE,Stock,CNY,1/4/2007,6/10/2021
26,SHE,Stock,CNY,1/4/2007,6/10/2021
27,SHE,Stock,CNY,1/4/2007,6/10/2021
28,SHE,Stock,CNY,1/4/2007,6/8/2021
29,SHE,Stock,CNY,8/31/2007,6/10/2021
30,SHE,Stock,CNY,1/4/2007,6/8/2021
31,SHE,Stock,CNY,8/31/2007,6/10/2021
32,SHE,Stock,CNY,1/4/2007,6/10/2021
33,SHE,Stock,CNY,8/31/2007,7/6/2017
34,SHE,Stock,CNY,8/31/2007,6/10/2021
35,SHE,Stock,CNY,9/28/2007,6/10/2021
36,SHE,Stock,CNY,1/4/2007,6/10/2021
37,SHE,Stock,CNY,1/4/2007,6/10/2021
38,SHE,Stock,CNY,2/8/2013,6/10/2021
39,SHE,Stock,CNY,1/4/2007,6/10/2021
40,SHE,Stock,CNY,8/31/2007,6/10/2021
42,SHE,Stock,CNY,1/4/2007,6/10/2021
43,SHE,Stock,CNY,1/1/2018,12/13/2019
45,SHE,Stock,CNY,8/31/2007,6/10/2021
46,SHE,Stock,CNY,1/4/2007,6/10/2021
47,SHE,Stock,CNY,,
48,SHE,Stock,CNY,1/4/2007,6/10/2021
49,SHE,Stock,CNY,1/4/2007,6/10/2021
50,SHE,Stock,CNY,1/4/2007,6/10/2021
55,SHE,Stock,CNY,1/4/2007,6/8/2021
56,SHE,Stock,CNY,8/31/2007,6/10/2021
58,SHE,Stock,CNY,1/4/2007,6/10/2021
59,SHE,Stock,CNY,1/4/2007,6/10/2021
60,SHE,Stock,CNY,1/4/2007,6/10/2021
61,SHE,Stock,CNY,10/12/2007,6/10/2021
